,id,username,model_name,timestamp,stepname,app_name,accelerometer_x,accelerometer_y,accelerometer_z,lat,lon
842,24261,drone_ar_20_035,drona_pluto_bundle,2020-02-07 16:44:30,Step 2,Drone_Fundamentals,0.00587843,-0.6926838000000001,-0.6920054,0.0,0.0
843,24260,drone_ar_20_035,drona_pluto_bundle,2020-02-07 16:44:28,Step 3,Drone_Fundamentals,-0.02535442,-0.6851203,-0.7610574999999999,0.0,0.0
844,24259,drone_ar_20_035,drona_pluto_bundle,2020-02-07 16:44:19,Step 2,Drone_Fundamentals,-0.06170951,-0.7370926,-0.6966422,0.0,0.0
845,24258,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:44:12,Step 3,Drone_Fundamentals,0.5897378000000001,-0.0023436489999999997,-0.8012376,0.0,0.0
846,24257,drone_ar_20_035,drona_pluto_bundle,2020-02-07 16:44:13,Step 1,Drone_Fundamentals,0.05296966,-0.7107406999999999,-0.6885899999999999,0.0,0.0
847,24256,drone_ar_20_035,drona_pluto_bundle,2020-02-07 16:43:55,Step 4,Drone_Fundamentals,-0.04414268,-0.6624281,-0.7815542,0.0,0.0
848,24255,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:43:31,Step 3,Drone_Fundamentals,0.7576383000000001,0.05380628,-0.7179892,0.0,0.0
849,24254,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:43:30,Step 2,Drone_Fundamentals,0.7315164000000001,0.06363253,-0.734529,0.0,0.0
850,24253,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:43:29,Step 1,Drone_Fundamentals,0.7454928000000001,0.039585699999999995,-0.7203695,0.0,0.0
851,24252,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:43:25,Step 1,Drone_Fundamentals,0.7031973000000001,0.07144468,-0.7921437,0.0,0.0
852,24251,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:43:23,Step 3,Drone_Fundamentals,0.6721316999999999,0.04208804,-0.8872934000000001,0.0,0.0
853,24250,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:43:19,Step 1,Drone_Fundamentals,0.6340474,0.016881599999999997,-0.8368196,0.0,0.0
854,24249,drone_ar_20_030,drona_pluto_bundle,2020-02-07 16:42:44,Step 2,Drone_Fundamentals,-0.02026954,-0.695802,-0.7144439,0.0,0.0
855,24248,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:42:33,Step 3,Drone_Fundamentals,0.8483325999999999,-0.01943276,-0.6020274,0.0,0.0
856,24247,drone_ar_20_030,drona_pluto_bundle,2020-02-07 16:42:30,Step 1,Drone_Fundamentals,0.05321706,-0.7895519,-0.6521868000000001,0.0,0.0
857,24246,drone_ar_20_029,drona_pluto_bundle,2020-02-07 16:42:13,Step 1,Drone_Fundamentals,0.2265625,0.02929687,-0.9374998999999999,0.0,0.0
858,24245,drone_ar_20_036,pluto_functionality_bundle,2020-02-07 16:41:53,ESP,Drone_Fundamentals,0.23120820000000003,-0.03711051,-1.004669,0.0,0.0
859,24244,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:41:05,Step 2,Drone_Fundamentals,0.6364887,-0.02291161,-0.8608053,0.0,0.0
860,24243,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:40:56,Step 1,Drone_Fundamentals,0.3821051,-0.0002685429,-0.9588846999999999,0.0,0.0
861,24242,drone_ar_20_034,drona_pluto_bundle,2020-02-07 16:40:32,Step 4,Drone_Fundamentals,0.5514705,0.03348245,-0.8872325000000001,0.0,0.0
862,24241,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:41:01,Step 3,Drone_Fundamentals,0.3785383,-0.2544447,-0.9000591999999998,0.0,0.0
863,24240,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:40:59,Step 2,Drone_Fundamentals,0.3450925,-0.17705539999999997,-0.9913639000000001,0.0,0.0
864,24239,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:40:52,Step 1,Drone_Fundamentals,0.3302006,-0.15703670000000003,-0.9315519,0.0,0.0
865,24238,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:40:44,Step 1,Drone_Fundamentals,0.16687760000000001,-0.08160054,-0.9918521,0.0,0.0
866,24237,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:40:39,Step 3,Drone_Fundamentals,0.21301810000000002,0.05926255,-1.027007,0.0,0.0
867,24236,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:40:37,Step 2,Drone_Fundamentals,0.17688689999999999,0.00897174,-1.018462,0.0,0.0
868,24235,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:40:37,Step 1,Drone_Fundamentals,0.14173210000000003,-0.06377903,-0.9974671,0.0,0.0
869,24234,drone_ar_20_030,pluto_functionality_bundle,2020-02-07 16:39:21,Primus X,Drone_Fundamentals,0.05419265,-0.6896979,-0.7525293000000001,0.0,0.0
870,24233,drone_ar_20_030,pluto_functionality_bundle,2020-02-07 16:39:01,ESP,Drone_Fundamentals,0.10961300000000002,-0.6967774999999999,-0.7339744,0.0,0.0
871,24232,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:39:34,Step 2,Drone_Fundamentals,0.3482662,-0.05987296,-1.124903,0.0,0.0
872,24231,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:39:18,Step 1,Drone_Fundamentals,0.1922671,-0.1502011,-1.066556,0.0,0.0
873,24230,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:39:07,Step 1,Drone_Fundamentals,0.2969989,-0.04205146,-0.9459556,0.0,0.0
874,24229,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:38:30,Step 3,Drone_Fundamentals,0.3270269,0.09417316,-1.060453,0.0,0.0
875,24228,drone_ar_20_042,drona_pluto_bundle,2020-02-07 16:38:27,Step 2,Drone_Fundamentals,0.32629450000000004,-0.02691539,-1.053129,0.0,0.0
